Module Name: KeyGenMeC:\Users\16481\Desktop\KeyGenMe.exe Module Base 00400000
SectionNumber: 00000001   SectionVirtualAddress: 00401000
SectionNumber: 00000002   SectionVirtualAddress: 00500000
SectionNumber: 00000003   SectionVirtualAddress: 00524000
SectionNumber: 00000004   SectionVirtualAddress: 00549000
seg:offset: 0001:00000000  Address: 00401000  symbol£ºloc_401000
seg:offset: 0001:00000002  Address: 00401002  symbol£ºnullsub_1
seg:offset: 0001:00000004  Address: 00401004  symbol£ºsub_401004
seg:offset: 0001:0000000B  Address: 0040100b  symbol£ºloc_40100B
seg:offset: 0001:00000016  Address: 00401016  symbol£ºloc_401016
seg:offset: 0001:00000021  Address: 00401021  symbol£ºloc_401021
seg:offset: 0001:00000023  Address: 00401023  symbol£ºlocret_401023
seg:offset: 0001:00000024  Address: 00401024  symbol£ºsub_401024
seg:offset: 0001:00000025  Address: 00401025  symbol£ºloc_401025
seg:offset: 0001:0000002C  Address: 0040102c  symbol£ºsub_40102C
seg:offset: 0001:00000053  Address: 00401053  symbol£ºsub_401053
seg:offset: 0001:0000005A  Address: 0040105a  symbol£ºloc_40105A
seg:offset: 0001:00000064  Address: 00401064  symbol£ºloc_401064
seg:offset: 0001:00000073  Address: 00401073  symbol£ºloc_401073
seg:offset: 0001:000000A6  Address: 004010a6  symbol£ºloc_4010A6
seg:offset: 0001:000000AC  Address: 004010ac  symbol£ºloc_4010AC
seg:offset: 0001:000000B2  Address: 004010b2  symbol£ºloc_4010B2
seg:offset: 0001:000000B8  Address: 004010b8  symbol£ºloc_4010B8
seg:offset: 0001:000000BE  Address: 004010be  symbol£ºsub_4010BE
seg:offset: 0001:000000D7  Address: 004010d7  symbol£ºloc_4010D7
seg:offset: 0001:00000103  Address: 00401103  symbol£ºloc_401103
seg:offset: 0001:0000011A  Address: 0040111a  symbol£ºsub_40111A
seg:offset: 0001:00000132  Address: 00401132  symbol£ºlocret_401132
seg:offset: 0001:00000133  Address: 00401133  symbol£ºloc_401133
seg:offset: 0001:0000013F  Address: 0040113f  symbol£ºlocret_40113F
seg:offset: 0001:00000140  Address: 00401140  symbol£ºloc_401140
seg:offset: 0001:00000148  Address: 00401148  symbol£ºloc_401148
seg:offset: 0001:00000176  Address: 00401176  symbol£ºloc_401176
seg:offset: 0001:00000179  Address: 00401179  symbol£ºloc_401179
seg:offset: 0001:0000017F  Address: 0040117f  symbol£ºloc_40117F
seg:offset: 0001:0000019B  Address: 0040119b  symbol£ºloc_40119B
seg:offset: 0001:00000217  Address: 00401217  symbol£ºloc_401217
seg:offset: 0001:00000246  Address: 00401246  symbol£ºloc_401246
seg:offset: 0001:00000275  Address: 00401275  symbol£ºloc_401275
seg:offset: 0001:000002A4  Address: 004012a4  symbol£ºloc_4012A4
seg:offset: 0001:000002D3  Address: 004012d3  symbol£ºloc_4012D3
seg:offset: 0001:00000302  Address: 00401302  symbol£ºloc_401302
seg:offset: 0001:00000331  Address: 00401331  symbol£ºloc_401331
seg:offset: 0001:00000360  Address: 00401360  symbol£ºloc_401360
seg:offset: 0001:0000038F  Address: 0040138f  symbol£ºloc_40138F
seg:offset: 0001:000003BE  Address: 004013be  symbol£ºloc_4013BE
seg:offset: 0001:000003ED  Address: 004013ed  symbol£ºloc_4013ED
seg:offset: 0001:0000041C  Address: 0040141c  symbol£ºloc_40141C
seg:offset: 0001:0000044B  Address: 0040144b  symbol£ºloc_40144B
seg:offset: 0001:0000047A  Address: 0040147a  symbol£ºloc_40147A
seg:offset: 0001:000004A9  Address: 004014a9  symbol£ºloc_4014A9
seg:offset: 0001:000004E6  Address: 004014e6  symbol£ºloc_4014E6
seg:offset: 0001:0000050C  Address: 0040150c  symbol£ºloc_40150C
seg:offset: 0001:00000520  Address: 00401520  symbol£ºloc_401520
seg:offset: 0001:00000537  Address: 00401537  symbol£ºloc_401537
seg:offset: 0001:00000590  Address: 00401590  symbol£ºloc_401590
seg:offset: 0001:00000597  Address: 00401597  symbol£ºloc_401597
seg:offset: 0001:000005C2  Address: 004015c2  symbol£ºloc_4015C2
seg:offset: 0001:000005D5  Address: 004015d5  symbol£ºloc_4015D5
seg:offset: 0001:0000066A  Address: 0040166a  symbol£ºloc_40166A
seg:offset: 0001:0000067E  Address: 0040167e  symbol£ºloc_40167E
seg:offset: 0001:00000689  Address: 00401689  symbol£ºloc_401689
seg:offset: 0001:000006CE  Address: 004016ce  symbol£ºloc_4016CE
seg:offset: 0001:000006E6  Address: 004016e6  symbol£ºloc_4016E6
seg:offset: 0001:0000071A  Address: 0040171a  symbol£ºloc_40171A
seg:offset: 0001:00000736  Address: 00401736  symbol£ºloc_401736
seg:offset: 0001:00000746  Address: 00401746  symbol£ºloc_401746
seg:offset: 0001:0000074A  Address: 0040174a  symbol£ºnullsub_2
seg:offset: 0001:0000074B  Address: 0040174b  symbol£ºnullsub_3
seg:offset: 0001:0000074C  Address: 0040174c  symbol£ºsub_40174C
seg:offset: 0001:00000785  Address: 00401785  symbol£ºj__krnl_MMessageLoop
seg:offset: 0001:0000078B  Address: 0040178b  symbol£ºsub_40178B
seg:offset: 0001:00000791  Address: 00401791  symbol£ºsub_401791
seg:offset: 0001:00000797  Address: 00401797  symbol£ºj__krnl_MFree
seg:offset: 0001:0000079D  Address: 0040179d  symbol£ºj__krnl_MMalloc
seg:offset: 0001:000007A3  Address: 004017a3  symbol£ºj__krnl_MCallKrnlLibCmd
seg:offset: 0001:000007A9  Address: 004017a9  symbol£ºsub_4017A9
seg:offset: 0001:000007AF  Address: 004017af  symbol£ºj__krnl_MReadProperty
seg:offset: 0001:000007C0  Address: 004017c0  symbol£ºkrnln_?GetMDataPtr@@YAPAEPAUMDATA_INF@@PAH@Z
seg:offset: 0001:000007E5  Address: 004017e5  symbol£ºloc_4017E5
seg:offset: 0001:000007F2  Address: 004017f2  symbol£ºloc_4017F2
seg:offset: 0001:00000808  Address: 00401808  symbol£ºloc_401808
seg:offset: 0001:00000817  Address: 00401817  symbol£ºloc_401817
seg:offset: 0001:00000824  Address: 00401824  symbol£ºloc_401824
seg:offset: 0001:0000083B  Address: 0040183b  symbol£ºloc_40183B
seg:offset: 0001:00000848  Address: 00401848  symbol£ºloc_401848
seg:offset: 0001:00000855  Address: 00401855  symbol£ºloc_401855
seg:offset: 0001:00000862  Address: 00401862  symbol£ºloc_401862
seg:offset: 0001:00000874  Address: 00401874  symbol£ºloc_401874
seg:offset: 0001:00000878  Address: 00401878  symbol£ºoff_401878
seg:offset: 0001:000008A0  Address: 004018a0  symbol£ºkrnln_?SetMDataValue@@YAHPAUMDATA_INF@@PAEH@Z
seg:offset: 0001:000008CF  Address: 004018cf  symbol£ºloc_4018CF
seg:offset: 0001:000008E2  Address: 004018e2  symbol£ºloc_4018E2
seg:offset: 0001:00000911  Address: 00401911  symbol£ºloc_401911
seg:offset: 0001:0000092D  Address: 0040192d  symbol£ºloc_40192D
seg:offset: 0001:00000936  Address: 00401936  symbol£ºloc_401936
seg:offset: 0001:00000949  Address: 00401949  symbol£ºloc_401949
seg:offset: 0001:00000964  Address: 00401964  symbol£ºloc_401964
seg:offset: 0001:00000978  Address: 00401978  symbol£ºloc_401978
seg:offset: 0001:0000097D  Address: 0040197d  symbol£ºloc_40197D
seg:offset: 0001:00000996  Address: 00401996  symbol£ºloc_401996
seg:offset: 0001:000009A3  Address: 004019a3  symbol£ºloc_4019A3
seg:offset: 0001:000009BA  Address: 004019ba  symbol£ºloc_4019BA
seg:offset: 0001:000009C7  Address: 004019c7  symbol£ºloc_4019C7
seg:offset: 0001:000009D6  Address: 004019d6  symbol£ºloc_4019D6
seg:offset: 0001:000009E4  Address: 004019e4  symbol£ºloc_4019E4
seg:offset: 0001:000009F7  Address: 004019f7  symbol£ºloc_4019F7
seg:offset: 0001:000009FF  Address: 004019ff  symbol£ºloc_4019FF
seg:offset: 0001:00000A04  Address: 00401a04  symbol£ºoff_401A04
seg:offset: 0001:00000A20  Address: 00401a20  symbol£ºkrnln_?GetAryElementInf@@YAPAEPAXPAH@Z
seg:offset: 0001:00000A33  Address: 00401a33  symbol£ºloc_401A33
seg:offset: 0001:00000A3F  Address: 00401a3f  symbol£ºloc_401A3F
seg:offset: 0001:00000A49  Address: 00401a49  symbol£ºlocret_401A49
seg:offset: 0001:00000A50  Address: 00401a50  symbol£ºkrnln_?GetNumDataTypeSize@@YAHK@Z
seg:offset: 0001:00000A72  Address: 00401a72  symbol£ºloc_401A72
seg:offset: 0001:00000A78  Address: 00401a78  symbol£ºloc_401A78
seg:offset: 0001:00000A7E  Address: 00401a7e  symbol£ºloc_401A7E
seg:offset: 0001:00000A84  Address: 00401a84  symbol£ºloc_401A84
seg:offset: 0001:00000A8A  Address: 00401a8a  symbol£ºloc_401A8A
seg:offset: 0001:00000A98  Address: 00401a98  symbol£ºloc_401A98
seg:offset: 0001:00000AA0  Address: 00401aa0  symbol£º_krnln_fnPow
seg:offset: 0001:00000AC0  Address: 00401ac0  symbol£º_krnln_fnIDiv
seg:offset: 0001:00000AE6  Address: 00401ae6  symbol£ºloc_401AE6
seg:offset: 0001:00000B06  Address: 00401b06  symbol£ºloc_401B06
seg:offset: 0001:00000B33  Address: 00401b33  symbol£ºloc_401B33
seg:offset: 0001:00000B50  Address: 00401b50  symbol£º_krnln_fnMod
seg:offset: 0001:00000B76  Address: 00401b76  symbol£ºloc_401B76
seg:offset: 0001:00000B96  Address: 00401b96  symbol£ºloc_401B96
seg:offset: 0001:00000BB7  Address: 00401bb7  symbol£ºloc_401BB7
seg:offset: 0001:00000BD0  Address: 00401bd0  symbol£ºkrnln_?RunBitOper@@YAXHPAUMDATA_INF@@H0@Z
seg:offset: 0001:00000BE8  Address: 00401be8  symbol£ºloc_401BE8
seg:offset: 0001:00000BFC  Address: 00401bfc  symbol£ºloc_401BFC
seg:offset: 0001:00000C00  Address: 00401c00  symbol£ºloc_401C00
seg:offset: 0001:00000C02  Address: 00401c02  symbol£ºloc_401C02
seg:offset: 0001:00000C0E  Address: 00401c0e  symbol£ºloc_401C0E
seg:offset: 0001:00000C20  Address: 00401c20  symbol£º_krnln_fnTextLikeEqu
seg:offset: 0001:00000C67  Address: 00401c67  symbol£ºloc_401C67
seg:offset: 0001:00000C70  Address: 00401c70  symbol£º_krnln_fnBNot
seg:offset: 0001:00000C80  Address: 00401c80  symbol£º_krnln_fnBAnd
seg:offset: 0001:00000CA0  Address: 00401ca0  symbol£º_krnln_fnBOr
seg:offset: 0001:00000CC0  Address: 00401cc0  symbol£º_krnln_fnBXor
seg:offset: 0001:00000D00  Address: 00401d00  symbol£º_krnln_fnRun
seg:offset: 0001:00000D31  Address: 00401d31  symbol£ºloc_401D31
seg:offset: 0001:00000D41  Address: 00401d41  symbol£ºloc_401D41
seg:offset: 0001:00000D46  Address: 00401d46  symbol£ºloc_401D46
seg:offset: 0001:00000D4B  Address: 00401d4b  symbol£ºloc_401D4B
seg:offset: 0001:00000D62  Address: 00401d62  symbol£ºloc_401D62
seg:offset: 0001:00000D6E  Address: 00401d6e  symbol£ºloc_401D6E
seg:offset: 0001:00000D7C  Address: 00401d7c  symbol£ºloc_401D7C
seg:offset: 0001:00000D8A  Address: 00401d8a  symbol£ºloc_401D8A
seg:offset: 0001:00000D9C  Address: 00401d9c  symbol£ºloc_401D9C
seg:offset: 0001:00000DD7  Address: 00401dd7  symbol£ºloc_401DD7
seg:offset: 0001:00000DE7  Address: 00401de7  symbol£ºloc_401DE7
seg:offset: 0001:00000E07  Address: 00401e07  symbol£ºloc_401E07
